GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0041900174,2,12,0,1,4:16 PM,12:00,,Start of 1st Period (4:16 PM EST),,,
0041900174,4,10,0,1,4:16 PM,12:00,Jump Ball Adams vs. Covington: Tip to Paul,,,,
0041900174,7,1,108,1,4:16 PM,11:48,Gallinari 1' Cutting Dunk Shot (2 PTS) (Paul 1 AST),,,0 - 2,2
0041900174,9,6,2,1,4:16 PM,11:34,Gilgeous-Alexander S.FOUL (P1.T1) (T.Ford),,,,
0041900174,11,3,13,1,4:17 PM,11:34,,,Gordon Free Throw 1 of 3 (1 PTS),1 - 2,1
0041900174,12,3,14,1,4:17 PM,11:34,,,Gordon Free Throw 2 of 3 (2 PTS),2 - 2,TIE
0041900174,13,3,15,1,4:17 PM,11:34,,,Gordon Free Throw 3 of 3 (3 PTS),3 - 2,-1
0041900174,14,6,1,1,4:18 PM,11:18,,,House Jr. P.FOUL (P1.T1) (T.Ford),,
0041900174,16,1,1,1,4:18 PM,11:10,Gallinari 28' 3PT Jump Shot (5 PTS) (Gilgeous-Alexander 1 AST),,,3 - 5,2
0041900174,18,2,1,1,4:18 PM,10:58,,,MISS House Jr. 26' 3PT Jump Shot,,
0041900174,19,4,0,1,4:18 PM,10:57,Adams REBOUND (Off:0 Def:1),,,,
0041900174,20,1,80,1,4:18 PM,10:47,Gilgeous-Alexander 27' 3PT Step Back Jump Shot (3 PTS),,,3 - 8,5
0041900174,21,2,1,1,4:19 PM,10:37,,,MISS Tucker 25' 3PT Jump Shot,,
0041900174,22,4,0,1,4:19 PM,10:36,Dort REBOUND (Off:0 Def:1),,,,
0041900174,23,1,1,1,4:19 PM,10:28,Dort 28' 3PT Jump Shot (3 PTS) (Gilgeous-Alexander 2 AST),,,3 - 11,8
0041900174,25,5,4,1,4:19 PM,10:14,,,Covington Traveling Turnover (P1.T1),,
0041900174,26,2,1,1,4:19 PM,10:04,MISS Dort 3PT Jump Shot,,,,
0041900174,27,4,0,1,4:19 PM,10:03,,,Covington REBOUND (Off:0 Def:1),,
0041900174,28,1,1,1,4:20 PM,9:43,,,House Jr. 3PT Jump Shot (3 PTS) (Gordon 1 AST),6 - 11,5
