GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0041900405,2,12,0,1,9:11 PM,12:00,,Start of 1st Period (9:11 PM EST),,,
0041900405,4,10,0,1,9:11 PM,12:00,Jump Ball Howard vs. Adebayo: Tip to James,,,,
0041900405,7,2,79,1,9:11 PM,11:41,MISS Caldwell-Pope 15' Pullup Jump Shot,,,,
0041900405,8,4,0,1,9:11 PM,11:40,,,Herro REBOUND (Off:0 Def:1),,
0041900405,9,1,52,1,9:12 PM,11:23,,,Adebayo 2' Alley Oop Dunk (2 PTS) (Herro 1 AST),2 - 0,-2
0041900405,11,1,1,1,9:12 PM,11:06,Green 3PT Jump Shot (3 PTS) (Caldwell-Pope 1 AST),,,2 - 3,1
0041900405,13,6,4,1,9:12 PM,10:51,,,Adebayo OFF.Foul (P1) (K.Fitzgerald),,
0041900405,15,5,37,1,9:12 PM,10:51,,,Adebayo Offensive Foul Turnover (P1.T1),,
0041900405,16,2,1,1,9:13 PM,10:37,MISS Davis 21' Jump Shot,,,,
0041900405,17,4,0,1,9:13 PM,10:36,,,Butler REBOUND (Off:0 Def:1),,
0041900405,19,6,2,1,9:13 PM,10:20,Green S.FOUL (P1.T1) (M.Davis),,,,
0041900405,21,3,11,1,9:14 PM,10:20,,,Butler Free Throw 1 of 2 (1 PTS),3 - 3,TIE
0041900405,22,3,12,1,9:14 PM,10:20,,,Butler Free Throw 2 of 2 (2 PTS),4 - 3,-1
0041900405,23,1,102,1,9:14 PM,9:59,James 6' Driving Floating Bank Jump Shot (2 PTS),,,4 - 5,1
0041900405,24,5,1,1,9:15 PM,9:49,Davis STEAL (1 STL),,Herro Bad Pass Turnover (P1.T2),,
0041900405,26,5,1,1,9:15 PM,9:47,Davis Bad Pass Turnover (P1.T1),,Butler STEAL (1 STL),,
0041900405,28,1,101,1,9:15 PM,9:36,,,Herro 11' Driving Floating Jump Shot (2 PTS) (Adebayo 1 AST),6 - 5,-1
0041900405,30,6,1,1,9:15 PM,9:19,,,Robinson P.FOUL (P1.T1) (E.Lewis),,
0041900405,32,1,1,1,9:16 PM,9:04,Green 10' Jump Shot (5 PTS),,,6 - 7,1
0041900405,33,1,79,1,9:16 PM,8:53,,,Butler 18' Pullup Jump Shot (4 PTS),8 - 7,-1
0041900405,34,2,5,1,9:16 PM,8:37,MISS James 3' Layup,,,,
0041900405,35,4,0,1,9:16 PM,8:35,,,Heat Rebound,,
0041900405,37,1,1,1,9:17 PM,8:18,,,Robinson 3PT Jump Shot (3 PTS) (Butler 1 AST),11 - 7,-4
0041900405,39,1,99,1,9:17 PM,8:06,Caldwell-Pope 2' Cutting Finger Roll Layup Shot (2 PTS) (James 1 AST),,,11 - 9,-2
0041900405,41,6,2,1,9:17 PM,8:06,,,Crowder S.FOUL (P1.T2) (K.Fitzgerald),,
0041900405,43,3,10,1,9:17 PM,8:06,Caldwell-Pope Free Throw 1 of 1 (3 PTS),,,11 - 10,-1
0041900405,44,2,101,1,9:18 PM,7:50,Green BLOCK (1 BLK),,MISS Herro 11' Driving Floating Jump Shot,,
0041900405,46,4,0,1,9:18 PM,7:50,,,Heat Rebound,,
0041900405,48,2,1,1,9:18 PM,7:48,,,MISS Crowder 3PT Jump Shot,,
0041900405,49,4,0,1,9:18 PM,7:47,Caldwell-Pope REBOUND (Off:0 Def:1),,,,
0041900405,50,6,1,1,9:19 PM,7:32,,,Butler P.FOUL (P1.T3) (M.Davis),,
0041900405,52,6,16,1,9:19 PM,7:32,,"Double Technical - Howard, Butler (M.Davis)",,,
0041900405,54,2,99,1,9:20 PM,7:25,MISS Caldwell-Pope 4' Cutting Finger Roll Layup Shot,,,,
0041900405,55,4,0,1,9:20 PM,7:24,Davis REBOUND (Off:1 Def:0),,,,
0041900405,56,1,97,1,9:20 PM,7:24,Davis 1' Tip Layup Shot (2 PTS),,,11 - 12,1
0041900405,57,5,1,1,9:20 PM,7:09,James STEAL (1 STL),,Adebayo Bad Pass Turnover (P2.T3),,
0041900405,59,1,106,1,9:20 PM,7:05,Davis 1' Running Alley Oop Dunk Shot (4 PTS) (James 2 AST),,,11 - 14,3
