GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0041900406,2,12,0,1,7:41 PM,12:00,,Start of 1st Period (7:41 PM EST),,,
0041900406,4,10,0,1,7:41 PM,12:00,Jump Ball Adebayo vs. Davis: Tip to Caldwell-Pope,,,,
0041900406,7,1,1,1,7:41 PM,11:48,,,Davis 18' Jump Shot (2 PTS) (James 1 AST),2 - 0,-2
0041900406,9,1,52,1,7:41 PM,11:25,Adebayo 1' Alley Oop Dunk (2 PTS) (Herro 1 AST),,,2 - 2,TIE
0041900406,11,2,80,1,7:41 PM,11:11,,,MISS Davis 16' Step Back Jump Shot,,
0041900406,12,4,0,1,7:41 PM,11:10,Herro REBOUND (Off:0 Def:1),,,,
0041900406,13,2,1,1,7:42 PM,11:02,MISS Robinson 3PT Jump Shot,,,,
0041900406,14,4,0,1,7:42 PM,11:01,,,James REBOUND (Off:0 Def:1),,
0041900406,15,2,79,1,7:42 PM,10:53,,,MISS Caldwell-Pope 19' Pullup Jump Shot,,
0041900406,16,4,0,1,7:42 PM,10:52,Adebayo REBOUND (Off:0 Def:1),,,,
0041900406,17,5,45,1,7:42 PM,10:39,Herro Out of Bounds - Bad Pass Turnover Turnover (P1.T1),,,,
0041900406,18,2,86,1,7:42 PM,10:17,,,MISS Davis 11' Turnaround Fadeaway Shot,,
0041900406,19,4,0,1,7:42 PM,10:15,,,Lakers Rebound,,
0041900406,20,5,11,1,7:42 PM,10:15,,,Lakers Turnover: Shot Clock (T#1),,
0041900406,21,5,1,1,7:43 PM,10:02,Robinson Bad Pass Turnover (P1.T2),,Davis STEAL (1 STL),,
0041900406,23,1,50,1,7:43 PM,9:59,,,James 1' Running Dunk (2 PTS) (Caruso 1 AST),4 - 2,-2
0041900406,24,2,79,1,7:43 PM,9:48,MISS Herro 15' Pullup Jump Shot,,,,
0041900406,25,4,0,1,7:43 PM,9:47,,,James REBOUND (Off:0 Def:2),,
0041900406,26,2,79,1,7:43 PM,9:42,,,MISS Green 24' 3PT Pullup Jump Shot,,
0041900406,27,4,0,1,7:43 PM,9:40,Herro REBOUND (Off:0 Def:2),,,,
0041900406,28,2,98,1,7:43 PM,9:28,MISS Adebayo 3' Cutting Layup Shot,,Caruso BLOCK (1 BLK),,
0041900406,30,4,0,1,7:43 PM,9:27,,,James REBOUND (Off:0 Def:3),,
0041900406,31,1,6,1,7:44 PM,9:21,,,James 2' Driving Layup (4 PTS),6 - 2,-4
0041900406,32,1,1,1,7:44 PM,9:08,Robinson 26' 3PT Jump Shot (3 PTS) (Butler 1 AST),,,6 - 5,-1
0041900406,36,6,2,1,7:45 PM,8:55,Robinson S.FOUL (P1.T1) (D.Guthrie),,,,
0041900406,39,3,11,1,7:45 PM,8:55,,,Caldwell-Pope Free Throw 1 of 2 (1 PTS),7 - 5,-2
0041900406,40,3,12,1,7:45 PM,8:55,,,Caldwell-Pope Free Throw 2 of 2 (2 PTS),8 - 5,-3
0041900406,41,5,45,1,7:45 PM,8:43,Robinson Out of Bounds - Bad Pass Turnover Turnover (P2.T3),,,,
0041900406,42,2,1,1,7:45 PM,8:31,,,MISS James 27' 3PT Jump Shot,,
0041900406,43,4,0,1,7:45 PM,8:30,Herro REBOUND (Off:0 Def:3),,,,
0041900406,44,2,73,1,7:46 PM,8:18,MISS Herro 2' Driving Reverse Layup,,,,
0041900406,45,4,0,1,7:46 PM,8:17,,,Caldwell-Pope REBOUND (Off:0 Def:1),,
0041900406,46,6,26,1,7:46 PM,8:13,,,Davis Offensive Charge Foul (P1.T1) (T.Brothers),,
0041900406,48,5,37,1,7:46 PM,8:13,,,Davis Offensive Foul Turnover (P1.T2),,
0041900406,49,2,47,1,7:46 PM,7:56,MISS Butler 6' Turnaround Jump Shot,,,,
0041900406,50,4,0,1,7:46 PM,7:55,,,Davis REBOUND (Off:0 Def:1),,
0041900406,51,5,2,1,7:47 PM,7:36,Crowder STEAL (1 STL),,Davis Lost Ball Turnover (P2.T3),,
0041900406,53,1,1,1,7:47 PM,7:26,Robinson 28' 3PT Jump Shot (6 PTS) (Herro 2 AST),,,8 - 8,TIE
0041900406,55,2,1,1,7:47 PM,6:57,,,MISS Green 26' 3PT Jump Shot,,
0041900406,56,4,0,1,7:47 PM,6:56,,,Green REBOUND (Off:1 Def:0),,
0041900406,57,1,1,1,7:47 PM,6:50,,,Green 24' 3PT Jump Shot (3 PTS) (Davis 1 AST),11 - 8,-3
0041900406,59,2,78,1,7:48 PM,6:27,MISS Adebayo 10' Floating Jump Shot,,,,
0041900406,60,4,0,1,7:48 PM,6:26,,,James REBOUND (Off:0 Def:4),,
0041900406,61,1,41,1,7:48 PM,6:21,,,James 1' Running Layup (6 PTS),13 - 8,-5
0041900406,62,9,1,1,7:48 PM,6:18,HEAT Timeout: Regular (Full 1 Short 0),,,,
0041900406,63,6,2,1,7:52 PM,5:58,,,Green S.FOUL (P1.T2) (D.Guthrie),,
0041900406,65,3,13,1,7:53 PM,5:58,Crowder Free Throw 1 of 3 (1 PTS),,,13 - 9,-4
0041900406,66,3,14,1,7:53 PM,5:58,Crowder Free Throw 2 of 3 (2 PTS),,,13 - 10,-3
0041900406,67,3,15,1,7:53 PM,5:58,Crowder Free Throw 3 of 3 (3 PTS),,,13 - 11,-2
0041900406,68,5,1,1,7:53 PM,5:44,Herro STEAL (1 STL),,Caldwell-Pope Bad Pass Turnover (P1.T4),,
0041900406,71,8,0,1,7:54 PM,5:21,,,SUB: Rondo FOR Green,,
0041900406,73,8,0,1,7:54 PM,5:21,SUB: Iguodala FOR Adebayo,,,,
0041900406,75,1,98,1,7:54 PM,5:19,Herro 2' Cutting Layup Shot (2 PTS) (Butler 2 AST),,,13 - 13,TIE
0041900406,77,2,1,1,7:55 PM,4:58,,,MISS Caldwell-Pope 25' 3PT Jump Shot,,
