GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0041900165,2,12,0,1,6:51 PM,12:00,,Start of 1st Period (6:51 PM EST),,,
0041900165,4,10,0,1,6:51 PM,12:00,Jump Ball Jokic vs. Gobert: Tip to Millsap,,,,
0041900165,7,2,80,1,6:51 PM,11:46,MISS Murray 27' 3PT Step Back Jump Shot,,,,
0041900165,8,4,0,1,6:51 PM,11:42,,,Ingles REBOUND (Off:0 Def:1),,
0041900165,9,1,52,1,6:51 PM,11:33,,,Gobert 4' Alley Oop Dunk (2 PTS) (Mitchell 1 AST),2 - 0,-2
0041900165,11,6,2,1,6:52 PM,11:17,,,Mitchell S.FOUL (P1.T1) (S.Foster),,
0041900165,13,3,11,1,6:52 PM,11:17,Millsap Free Throw 1 of 2 (1 PTS),,,2 - 1,-1
0041900165,14,3,12,1,6:52 PM,11:17,Millsap Free Throw 2 of 2 (2 PTS),,,2 - 2,TIE
0041900165,15,2,101,1,6:53 PM,10:57,,,MISS Conley 12' Driving Floating Jump Shot,,
0041900165,16,4,0,1,6:53 PM,10:54,Murray REBOUND (Off:0 Def:1),,,,
0041900165,17,5,1,1,6:53 PM,10:45,Jokic Bad Pass Turnover (P1.T1),,O'Neale STEAL (1 STL),,
0041900165,19,1,76,1,6:53 PM,10:41,,,O'Neale 3' Running Finger Roll Layup (2 PTS),4 - 2,-2
0041900165,20,6,1,1,6:53 PM,10:33,,,Conley P.FOUL (P1.T2) (T.Brown),,
0041900165,22,1,86,1,6:54 PM,10:14,Jokic 10' Turnaround Fadeaway (2 PTS),,,4 - 4,TIE
0041900165,23,1,1,1,6:54 PM,9:53,,,Mitchell 24' 3PT Jump Shot (3 PTS) (Ingles 1 AST),7 - 4,-3
0041900165,25,6,2,1,6:54 PM,9:40,,,Conley S.FOUL (P2.T3) (J.Williams),,
0041900165,27,3,11,1,6:55 PM,9:40,Morris Free Throw 1 of 2 (1 PTS),,,7 - 5,-2
0041900165,28,3,12,1,6:55 PM,9:40,Morris Free Throw 2 of 2 (2 PTS),,,7 - 6,-1
0041900165,29,1,1,1,6:55 PM,9:27,,,Ingles 25' 3PT Jump Shot (3 PTS) (O'Neale 1 AST),10 - 6,-4
0041900165,31,2,86,1,6:56 PM,9:12,MISS Millsap 10' Turnaround Fadeaway Shot,,,,
0041900165,32,4,0,1,6:56 PM,9:10,,,Gobert REBOUND (Off:0 Def:1),,
0041900165,33,1,79,1,6:56 PM,9:02,,,Mitchell 27' 3PT Pullup Jump Shot (6 PTS),13 - 6,-7
0041900165,34,2,79,1,6:56 PM,8:50,MISS Morris 16' Pullup Jump Shot,,,,
0041900165,35,4,0,1,6:56 PM,8:48,,,Conley REBOUND (Off:0 Def:1),,
0041900165,36,1,1,1,6:56 PM,8:44,,,O'Neale 25' 3PT Jump Shot (5 PTS) (Conley 1 AST),16 - 6,-10
0041900165,38,9,1,1,6:56 PM,8:43,NUGGETS Timeout: Regular (Full 1 Short 0),,,,
0041900165,39,1,96,1,7:00 PM,8:26,Jokic 2' Turnaround Bank Hook Shot (4 PTS),,,16 - 8,-8
0041900165,40,2,79,1,7:00 PM,8:03,,,MISS Mitchell 26' 3PT Pullup Jump Shot,,
0041900165,41,4,0,1,7:00 PM,7:58,Murray REBOUND (Off:0 Def:2),,,,
0041900165,42,2,6,1,7:01 PM,7:51,MISS Grant 2' Driving Layup,,,,
0041900165,43,4,0,1,7:01 PM,7:49,,,Ingles REBOUND (Off:0 Def:2),,
0041900165,44,2,80,1,7:01 PM,7:37,,,MISS Ingles 26' 3PT Step Back Jump Shot,,
0041900165,45,4,0,1,7:01 PM,7:36,NUGGETS Rebound,,,,
0041900165,47,1,1,1,7:01 PM,7:16,Jokic 26' 3PT Jump Shot (7 PTS) (Murray 1 AST),,,16 - 11,-5
0041900165,49,6,4,1,7:02 PM,7:02,,,Gobert OFF.Foul (P1) (S.Foster),,
0041900165,51,5,37,1,7:02 PM,7:02,,,Gobert Offensive Foul Turnover (P1.T1),,
0041900165,52,8,0,1,7:02 PM,7:02,,,SUB: Clarkson FOR Conley,,
0041900165,54,1,101,1,7:02 PM,6:43,Jokic 8' Driving Floating Jump Shot (9 PTS),,,16 - 13,-3
0041900165,57,1,80,1,7:03 PM,6:17,,,O'Neale 27' 3PT Step Back Jump Shot (8 PTS) (Ingles 2 AST),19 - 13,-6
0041900165,59,1,1,1,7:04 PM,6:04,Jokic 26' 3PT Jump Shot (12 PTS) (Morris 1 AST),,,19 - 16,-3
0041900165,61,6,1,1,7:04 PM,5:52,Murray P.FOUL (P1.T1) (S.Foster),,,,
0041900165,63,2,79,1,7:04 PM,5:46,,,MISS Clarkson 13' Pullup Jump Shot,,
0041900165,64,4,0,1,7:04 PM,5:44,Morris REBOUND (Off:0 Def:1),,,,
0041900165,65,1,1,1,7:04 PM,5:37,Jokic 25' 3PT Jump Shot (15 PTS) (Morris 2 AST),,,19 - 19,TIE
0041900165,67,2,1,1,7:05 PM,5:13,,,MISS Clarkson 27' 3PT Jump Shot,,
0041900165,68,4,0,1,7:05 PM,5:13,,,Jazz Rebound,,
0041900165,69,6,3,1,7:05 PM,5:12,Jokic L.B.FOUL (P1.T2) (T.Brown),,,,
0041900165,71,8,0,1,7:05 PM,5:12,SUB: Craig FOR Murray,,,,
0041900165,73,1,6,1,7:05 PM,5:05,,,Ingles 6' Driving Layup (5 PTS) (Gobert 1 AST),21 - 19,-2
0041900165,75,5,1,1,7:06 PM,4:57,Grant Bad Pass Turnover (P1.T2),,Ingles STEAL (1 STL),,
0041900165,77,1,103,1,7:06 PM,4:53,,,Ingles 25' 3PT Running Pull-Up Jump Shot (8 PTS),24 - 19,-5
0041900165,78,2,1,1,7:06 PM,4:32,MISS Morris 26' 3PT Jump Shot,,,,
0041900165,79,4,0,1,7:06 PM,4:30,,,Gobert REBOUND (Off:0 Def:2),,
0041900165,80,2,101,1,7:06 PM,4:14,,,MISS Clarkson 6' Driving Floating Jump Shot,,
0041900165,81,4,0,1,7:06 PM,4:11,Millsap REBOUND (Off:0 Def:1),,,,
0041900165,82,2,1,1,7:06 PM,4:05,MISS Craig 3PT Jump Shot,,,,
0041900165,83,4,0,1,7:06 PM,4:01,,,Mitchell REBOUND (Off:0 Def:1),,
0041900165,84,5,1,1,7:07 PM,3:59,Craig STEAL (1 STL),,Mitchell Bad Pass Turnover (P1.T2),,
0041900165,86,2,1,1,7:07 PM,3:55,MISS Millsap 27' 3PT Jump Shot,,,,
0041900165,87,4,0,1,7:07 PM,3:54,,,Clarkson REBOUND (Off:0 Def:1),,
0041900165,88,6,1,1,7:07 PM,3:49,Millsap P.FOUL (P1.T3) (J.Williams),,,,
0041900165,90,8,0,1,7:07 PM,3:49,SUB: Porter Jr. FOR Millsap,,,,
0041900165,91,8,0,1,7:07 PM,3:49,,,SUB: Niang FOR Ingles,,
0041900165,92,8,0,1,7:07 PM,3:49,,,SUB: Morgan FOR O'Neale,,
0041900165,96,2,101,1,7:07 PM,3:38,,,MISS Mitchell 5' Driving Floating Jump Shot,,
0041900165,97,4,0,1,7:07 PM,3:35,Grant REBOUND (Off:0 Def:1),,,,
0041900165,98,1,2,1,7:07 PM,3:31,Porter Jr. 25' 3PT Running Jump Shot (3 PTS) (Morris 3 AST),,,24 - 22,-2
0041900165,100,9,1,1,7:08 PM,3:30,,,Jazz Timeout: Regular (Reg.1 Short 0),,
0041900165,101,8,0,1,7:10 PM,3:30,SUB: Murray FOR Morris,,,,
0041900165,102,8,0,1,7:10 PM,3:30,,,SUB: Conley FOR Mitchell,,
0041900165,103,8,0,1,7:10 PM,3:30,,,SUB: O'Neale FOR Morgan,,
0041900165,107,7,5,1,7:11 PM,3:20,Craig Violation:Kicked Ball (J.Williams),,,,
0041900165,108,2,80,1,7:12 PM,3:05,,,MISS Clarkson 27' 3PT Step Back Jump Shot,,
0041900165,109,4,0,1,7:12 PM,3:01,Jokic REBOUND (Off:0 Def:1),,,,
0041900165,110,1,98,1,7:12 PM,2:56,Craig 5' Cutting Layup Shot (2 PTS) (Jokic 1 AST),,,24 - 24,TIE
0041900165,112,1,57,1,7:12 PM,2:34,,,Niang 6' Driving Hook Shot (2 PTS) (O'Neale 2 AST),26 - 24,-2
0041900165,114,1,1,1,7:13 PM,2:10,Jokic 27' 3PT Jump Shot (18 PTS) (Murray 2 AST),,,26 - 27,1
0041900165,116,2,79,1,7:13 PM,1:53,,,MISS Conley 27' 3PT Pullup Jump Shot,,
0041900165,117,4,0,1,7:13 PM,1:49,Grant REBOUND (Off:0 Def:2),,,,
0041900165,118,5,1,1,7:13 PM,1:43,Porter Jr. Bad Pass Turnover (P1.T3),,O'Neale STEAL (2 STL),,
0041900165,120,2,1,1,7:13 PM,1:37,,,MISS Niang 3PT Jump Shot,,
0041900165,121,4,0,1,7:13 PM,1:32,Jokic REBOUND (Off:0 Def:2),,,,
0041900165,122,2,5,1,7:14 PM,1:25,MISS Craig 4' Layup,,,,
0041900165,123,4,0,1,7:14 PM,1:22,,,Gobert REBOUND (Off:0 Def:3),,
0041900165,124,5,2,1,7:14 PM,1:19,Porter Jr. STEAL (1 STL),,Gobert Lost Ball Turnover (P2.T3),,
0041900165,126,2,1,1,7:14 PM,1:19,MISS Porter Jr. 18' Jump Shot,,,,
0041900165,127,4,0,1,7:14 PM,1:18,,,Gobert REBOUND (Off:0 Def:4),,
0041900165,128,1,6,1,7:14 PM,1:14,,,Clarkson 1' Driving Layup (2 PTS),28 - 27,-1
0041900165,129,6,2,1,7:14 PM,1:14,Porter Jr. S.FOUL (P1.T4) (J.Williams),,,,
0041900165,131,8,0,1,7:14 PM,1:14,SUB: Dozier FOR Grant,,,,
0041900165,133,3,10,1,7:14 PM,1:14,,,Clarkson Free Throw 1 of 1 (3 PTS),29 - 27,-2
0041900165,134,1,79,1,7:15 PM,0:56,Murray 27' 3PT Pullup Jump Shot (3 PTS) (Jokic 2 AST),,,29 - 30,1
0041900165,136,5,45,1,7:15 PM,0:42,,,Conley Out of Bounds - Bad Pass Turnover Turnover (P1.T4),,
0041900165,137,2,78,1,7:15 PM,0:29,MISS Murray 14' Floating Jump Shot,,,,
0041900165,138,4,0,1,7:15 PM,0:27,,,O'Neale REBOUND (Off:0 Def:1),,
0041900165,139,1,1,1,7:16 PM,0:04,,,Conley 3PT Jump Shot (3 PTS) (Clarkson 1 AST),32 - 30,-2
0041900165,141,1,79,1,7:16 PM,0:00,Jokic 28' 3PT Pullup Jump Shot (21 PTS),,,32 - 33,1
0041900165,142,18,0,1,7:16 PM,0:00,,Instant Replay1st Period (7:16 PM EST),,32 - 33,1
0041900165,143,13,0,1,7:17 PM,0:00,,End of 1st Period (7:17 PM EST),,32 - 33,1
0041900165,150,12,0,2,7:20 PM,12:00,,Start of 2nd Period (7:20 PM EST),,32 - 33,1
0041900165,151,2,1,2,7:20 PM,11:45,,,MISS Conley 26' 3PT Jump Shot,,
0041900165,152,4,0,2,7:20 PM,11:41,Porter Jr. REBOUND (Off:0 Def:1),,,,
0041900165,153,2,1,2,7:20 PM,11:33,MISS Porter Jr. 27' 3PT Jump Shot,,,,
0041900165,154,4,0,2,7:20 PM,11:30,,,Bradley REBOUND (Off:0 Def:1),,
0041900165,155,1,5,2,7:21 PM,11:11,,,Bradley 3' Layup (2 PTS) (Clarkson 2 AST),34 - 33,-1
0041900165,157,6,1,2,7:21 PM,10:52,,,Clarkson P.FOUL (P1.T1) (T.Brown),,
0041900165,159,8,0,2,7:21 PM,10:52,,,SUB: Niang FOR O'Neale,,
0041900165,161,1,1,2,7:21 PM,10:44,Porter Jr. 25' 3PT Jump Shot (6 PTS) (Dozier 1 AST),,,34 - 36,2
0041900165,164,1,101,2,7:22 PM,10:17,,,Conley 6' Driving Floating Jump Shot (5 PTS),36 - 36,TIE
0041900165,165,2,101,2,7:22 PM,9:56,MISS Murray 13' Driving Floating Jump Shot,,,,
0041900165,166,4,0,2,7:22 PM,9:53,,,Niang REBOUND (Off:0 Def:1),,
0041900165,167,2,1,2,7:23 PM,9:47,,,MISS Conley 25' 3PT Jump Shot,,
0041900165,168,4,0,2,7:23 PM,9:44,Plumlee REBOUND (Off:0 Def:1),,,,
0041900165,169,5,2,2,7:23 PM,9:37,Plumlee Lost Ball Turnover (P1.T4),,,,
