GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0041900153,2,12,0,1,9:23 PM,12:00,,Start of 1st Period (9:23 PM EST),,,
0041900153,4,10,0,1,9:23 PM,12:00,Jump Ball Porzingis vs. Zubac: Tip to Kleber,,,,
0041900153,7,2,1,1,9:23 PM,11:35,MISS Porzingis 24' 3PT Jump Shot,,,,
0041900153,8,4,0,1,9:23 PM,11:33,,,Morris Sr. REBOUND (Off:0 Def:1),,
0041900153,9,1,6,1,9:23 PM,11:24,,,George 6' Driving Layup (2 PTS),2 - 0,-2
0041900153,10,2,47,1,9:24 PM,11:08,MISS Hardaway Jr. 3' Turnaround Jump Shot,,Shamet BLOCK (1 BLK),,
0041900153,11,4,0,1,9:24 PM,11:07,,,Shamet REBOUND (Off:0 Def:1),,
0041900153,12,2,6,1,9:24 PM,11:03,,,MISS Shamet 3' Driving Layup,,
0041900153,13,4,0,1,9:24 PM,11:01,,,Zubac REBOUND (Off:1 Def:0),,
0041900153,14,1,72,1,9:24 PM,11:00,,,Zubac 1' Putback Layup (2 PTS),4 - 0,-4
0041900153,15,2,5,1,9:24 PM,10:43,MISS Doncic 3' Layup,,Zubac BLOCK (1 BLK),,
0041900153,17,4,0,1,9:24 PM,10:41,,,Zubac REBOUND (Off:1 Def:1),,
0041900153,18,2,80,1,9:24 PM,10:35,,,MISS George 26' 3PT Step Back Jump Shot,,
0041900153,19,4,0,1,9:24 PM,10:32,Finney-Smith REBOUND (Off:0 Def:1),,,,
0041900153,20,1,79,1,9:24 PM,10:25,Porzingis 16' Pullup Jump Shot (2 PTS) (Finney-Smith 1 AST),,,4 - 2,-2
0041900153,22,6,1,1,9:25 PM,10:07,Kleber P.FOUL (P1.T1) (T.Brown),,,,
0041900153,24,2,1,1,9:25 PM,9:58,,,MISS George 25' 3PT Jump Shot,,
0041900153,25,4,0,1,9:25 PM,9:55,Kleber REBOUND (Off:0 Def:1),,,,
0041900153,26,6,1,1,9:25 PM,9:46,,,Leonard P.FOUL (P1.T1) (C.Blair),,
0041900153,28,1,6,1,9:26 PM,9:35,Kleber 2' Driving Layup (2 PTS) (Doncic 1 AST),,,4 - 4,TIE
0041900153,30,1,102,1,9:26 PM,9:21,,,Leonard 3' Driving Floating Bank Jump Shot (2 PTS),6 - 4,-2
0041900153,31,1,1,1,9:26 PM,9:01,Porzingis 29' 3PT Jump Shot (5 PTS) (Doncic 2 AST),,,6 - 7,1
0041900153,34,2,79,1,9:27 PM,8:41,,,MISS Leonard 8' Pullup Jump Shot,,
0041900153,35,4,0,1,9:27 PM,8:39,Porzingis REBOUND (Off:0 Def:1),,,,
0041900153,36,6,2,1,9:27 PM,8:27,,,Zubac S.FOUL (P1.T2) (J.Goble),,
0041900153,38,3,11,1,9:28 PM,8:27,Finney-Smith Free Throw 1 of 2 (1 PTS),,,6 - 8,2
0041900153,39,3,12,1,9:28 PM,8:27,Finney-Smith Free Throw 2 of 2 (2 PTS),,,6 - 9,3
0041900153,40,1,86,1,9:28 PM,8:08,,,Leonard 8' Turnaround Fadeaway (4 PTS),8 - 9,1
0041900153,41,2,63,1,9:28 PM,7:55,MISS Doncic 25' 3PT Fadeaway Jumper,,,,
0041900153,42,4,0,1,9:28 PM,7:50,,,Shamet REBOUND (Off:0 Def:2),,
0041900153,43,2,1,1,9:29 PM,7:44,,,MISS Morris Sr. 25' 3PT Jump Shot,,
0041900153,44,4,0,1,9:29 PM,7:42,Finney-Smith REBOUND (Off:0 Def:2),,,,
0041900153,45,6,1,1,9:29 PM,7:34,,,Shamet P.FOUL (P1.T3) (J.Goble),,
0041900153,47,8,0,1,9:29 PM,7:34,,,SUB: Harrell FOR Zubac,,
0041900153,49,1,93,1,9:29 PM,7:26,Doncic 3' Driving Bank Hook Shot (2 PTS),,,8 - 11,3
0041900153,50,1,1,1,9:30 PM,7:04,,,Morris Sr. 3PT Jump Shot (3 PTS) (George 1 AST),11 - 11,TIE
0041900153,52,2,79,1,9:30 PM,6:48,MISS Hardaway Jr. 24' 3PT Pullup Jump Shot,,,,
0041900153,53,4,0,1,9:30 PM,6:46,,,Leonard REBOUND (Off:0 Def:1),,
0041900153,54,2,78,1,9:30 PM,6:34,,,MISS Leonard 3' Floating Jump Shot,,
0041900153,55,4,0,1,9:30 PM,6:32,Porzingis REBOUND (Off:0 Def:2),,,,
0041900153,56,6,1,1,9:30 PM,6:24,,,Harrell P.FOUL (P1.T4) (T.Brown),,
0041900153,58,9,1,1,9:31 PM,6:24,MAVERICKS Timeout: Regular (Full 1 Short 0),,,,
0041900153,59,8,0,1,9:34 PM,6:24,,,SUB: Williams FOR Shamet,,
0041900153,61,2,79,1,9:34 PM,6:15,MISS Doncic 25' 3PT Pullup Jump Shot,,,,
0041900153,62,4,0,1,9:34 PM,6:12,Hardaway Jr. REBOUND (Off:1 Def:0),,,,
0041900153,63,1,72,1,9:34 PM,6:11,Hardaway Jr. 2' Putback Layup (2 PTS),,,11 - 13,2
0041900153,64,1,63,1,9:35 PM,5:56,,,Leonard 11' Fadeaway Jumper (6 PTS),13 - 13,TIE
0041900153,65,1,41,1,9:35 PM,5:45,Doncic 2' Running Layup (4 PTS),,,13 - 15,2
0041900153,66,6,2,1,9:35 PM,5:45,,,Morris Sr. S.FOUL (P1.PN) (C.Blair),,
0041900153,68,8,0,1,9:35 PM,5:45,SUB: Burke FOR Kleber,,,,
0041900153,70,3,10,1,9:36 PM,5:45,MISS Doncic Free Throw 1 of 1,,,,
0041900153,71,4,0,1,9:36 PM,5:42,,,Leonard REBOUND (Off:0 Def:2),,
0041900153,74,5,1,1,9:36 PM,5:34,Doncic STEAL (1 STL),,George Bad Pass Turnover (P1.T1),,
0041900153,76,5,1,1,9:36 PM,5:28,Hardaway Jr. Bad Pass Turnover (P1.T1),,George STEAL (1 STL),,
0041900153,78,1,5,1,9:36 PM,5:17,,,Harrell 3' Layup (2 PTS) (George 2 AST),15 - 15,TIE
0041900153,80,2,78,1,9:36 PM,4:59,MISS Doncic 7' Floating Jump Shot,,,,
0041900153,81,4,0,1,9:36 PM,4:57,,,Leonard REBOUND (Off:0 Def:3),,
0041900153,82,1,5,1,9:37 PM,4:47,,,Harrell 1' Layup (4 PTS) (Morris Sr. 1 AST),17 - 15,-2
0041900153,84,2,1,1,9:37 PM,4:28,MISS Finney-Smith 25' 3PT Jump Shot,,,,
0041900153,85,4,0,1,9:37 PM,4:27,,,George REBOUND (Off:0 Def:1),,
0041900153,87,6,10,1,9:38 PM,4:27,," Foul : Double Personal - Harrell (2 PF), Doncic (1 PF) (J.Goble)",,,
0041900153,91,6,16,1,9:38 PM,4:27,,"Double Technical - Doncic, Harrell (J.Goble)",,,
0041900153,93,8,0,1,9:39 PM,4:27,SUB: Curry FOR Doncic,,,,
0041900153,94,8,0,1,9:39 PM,4:27,,,SUB: Jackson FOR George,,
0041900153,97,1,86,1,9:39 PM,4:11,,,Leonard 19' Turnaround Fadeaway (8 PTS),19 - 15,-4
0041900153,98,2,80,1,9:39 PM,3:55,MISS Porzingis 26' 3PT Step Back Jump Shot,,,,
0041900153,99,4,0,1,9:39 PM,3:53,,,Harrell REBOUND (Off:0 Def:1),,
0041900153,100,2,5,1,9:39 PM,3:37,,,MISS Harrell 2' Layup,,
0041900153,101,4,0,1,9:40 PM,3:32,,,Morris Sr. REBOUND (Off:1 Def:1),,
0041900153,102,1,97,1,9:40 PM,3:32,,,Morris Sr. 1' Tip Layup Shot (5 PTS),21 - 15,-6
0041900153,103,2,1,1,9:40 PM,3:24,MISS Finney-Smith 26' 3PT Jump Shot,,,,
0041900153,104,4,0,1,9:40 PM,3:23,,,Clippers Rebound,,
