GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN
0041900312,2,12,0,1,7:33 PM,12:00,,Start of 1st Period (7:33 PM EST),,,
0041900312,4,10,0,1,7:33 PM,12:00,Jump Ball McGee vs. Jokic: Tip to Millsap,,,,
0041900312,7,2,1,1,7:33 PM,11:45,,,MISS Jokic 13' Jump Shot,,
0041900312,8,4,0,1,7:33 PM,11:44,James REBOUND (Off:0 Def:1),,,,
0041900312,9,2,5,1,7:34 PM,11:31,MISS McGee 5' Layup,,,,
0041900312,10,4,0,1,7:34 PM,11:30,LAKERS Rebound,,,,
0041900312,12,2,80,1,7:34 PM,11:19,MISS James 18' Step Back Jump Shot,,,,
0041900312,13,4,0,1,7:34 PM,11:18,McGee REBOUND (Off:1 Def:0),,,,
0041900312,14,1,1,1,7:34 PM,11:14,James 28' 3PT Jump Shot (3 PTS) (McGee 1 AST),,,0 - 3,3
0041900312,18,5,11,1,7:35 PM,10:48,,,Nuggets Turnover: Shot Clock (T#1),,
0041900312,19,2,5,1,7:35 PM,10:33,MISS McGee 3' Layup,,,,
0041900312,20,4,0,1,7:35 PM,10:32,Green REBOUND (Off:1 Def:0),,,,
0041900312,21,2,97,1,7:35 PM,10:32,MISS Green 1' Tip Layup Shot,,,,
0041900312,22,4,0,1,7:35 PM,10:31,,,Jokic REBOUND (Off:0 Def:1),,
0041900312,23,5,1,1,7:35 PM,10:15,Caldwell-Pope STEAL (1 STL),,Murray Bad Pass Turnover (P1.T2),,
0041900312,25,5,1,1,7:35 PM,10:09,Caldwell-Pope Bad Pass Turnover (P1.T1),,Jokic STEAL (1 STL),,
0041900312,27,2,41,1,7:35 PM,10:03,Davis BLOCK (1 BLK),,MISS Millsap 2' Running Layup,,
0041900312,29,4,0,1,7:35 PM,10:03,,,Nuggets Rebound,,
0041900312,31,2,6,1,7:36 PM,9:55,,,MISS Harris 1' Driving Layup,,
0041900312,32,4,0,1,7:36 PM,9:54,James REBOUND (Off:0 Def:2),,,,
0041900312,33,2,1,1,7:36 PM,9:47,MISS Green 3PT Jump Shot,,,,
0041900312,34,4,0,1,7:36 PM,9:46,,,Jokic REBOUND (Off:0 Def:2),,
0041900312,35,6,4,1,7:36 PM,9:39,,,Murray OFF.Foul (P1) (B.Kennedy),,
0041900312,37,5,37,1,7:36 PM,9:39,,,Murray Offensive Foul Turnover (P2.T3),,
0041900312,38,2,1,1,7:36 PM,9:27,MISS Davis 21' Jump Shot,,,,
0041900312,39,4,0,1,7:37 PM,9:26,,,Nuggets Rebound,,
0041900312,40,6,3,1,7:37 PM,9:26,McGee L.B.FOUL (P1.T1) (B.Kennedy),,,,
0041900312,42,2,58,1,7:37 PM,9:05,,,MISS Jokic 8' Turnaround Hook Shot,,
0041900312,43,4,0,1,7:37 PM,9:03,Davis REBOUND (Off:0 Def:1),,,,
0041900312,44,2,41,1,7:37 PM,8:58,MISS Davis 8' Running Layup,,,,
0041900312,45,4,0,1,7:37 PM,8:57,,,Millsap REBOUND (Off:0 Def:1),,
0041900312,46,1,6,1,7:38 PM,8:44,,,Grant 3' Driving Layup (2 PTS) (Jokic 1 AST),2 - 3,1
0041900312,48,2,5,1,7:38 PM,8:36,MISS Davis 3' Layup,,,,
0041900312,49,4,0,1,7:38 PM,8:35,Davis REBOUND (Off:1 Def:1),,,,
0041900312,50,2,97,1,7:38 PM,8:34,MISS Davis 1' Tip Layup Shot,,,,
0041900312,51,4,0,1,7:38 PM,8:32,Davis REBOUND (Off:2 Def:1),,,,
0041900312,52,1,63,1,7:38 PM,8:23,James 23' Fadeaway Jumper (5 PTS),,,2 - 5,3
0041900312,53,1,79,1,7:38 PM,8:08,,,Murray 13' Pullup Jump Shot (2 PTS) (Jokic 2 AST),4 - 5,1
0041900312,54,1,6,1,7:38 PM,8:00,James 7' Driving Layup (7 PTS),,,4 - 7,3
0041900312,57,1,1,1,7:39 PM,7:38,,,Grant 26' 3PT Jump Shot (5 PTS) (Jokic 3 AST),7 - 7,TIE
0041900312,59,2,1,1,7:39 PM,7:21,MISS Green 26' 3PT Jump Shot,,,,
0041900312,60,4,0,1,7:39 PM,7:18,McGee REBOUND (Off:2 Def:0),,,,
0041900312,61,5,1,1,7:39 PM,7:17,McGee Bad Pass Turnover (P1.T2),,Jokic STEAL (2 STL),,
0041900312,63,2,1,1,7:40 PM,7:11,,,MISS Harris 3PT Jump Shot,,
0041900312,64,4,0,1,7:40 PM,7:09,,,Millsap REBOUND (Off:1 Def:1),,
0041900312,65,1,1,1,7:40 PM,7:06,,,Murray 26' 3PT Jump Shot (5 PTS) (Millsap 1 AST),10 - 7,-3
0041900312,67,5,2,1,7:40 PM,6:51,Green Lost Ball Turnover (P1.T3),,Grant STEAL (1 STL),,
0041900312,69,5,45,1,7:40 PM,6:50,,,Grant Out of Bounds - Bad Pass Turnover Turnover (P1.T4),,
0041900312,71,9,1,1,7:42 PM,6:50,LAKERS Timeout: Regular (Full 1 Short 0),,,,
0041900312,73,2,1,1,7:44 PM,6:37,MISS Green 3PT Jump Shot,,,,
0041900312,74,4,0,1,7:44 PM,6:36,,,Millsap REBOUND (Off:1 Def:2),,
0041900312,75,2,1,1,7:44 PM,6:29,,,MISS Jokic 20' Jump Shot,,
0041900312,76,4,0,1,7:44 PM,6:28,Green REBOUND (Off:1 Def:1),,,,
0041900312,77,6,1,1,7:44 PM,6:23,,,Grant P.FOUL (P1.T1) (J.Tiven),,
0041900312,79,2,105,1,7:45 PM,6:14,MISS Davis 12' Turnaround Fadeaway Bank Jump Shot,,,,
0041900312,80,4,0,1,7:45 PM,6:13,,,Harris REBOUND (Off:0 Def:1),,
0041900312,81,1,78,1,7:45 PM,6:05,,,Jokic 2' Floating Jump Shot (2 PTS) (Harris 1 AST),12 - 7,-5
0041900312,83,6,1,1,7:45 PM,5:52,,,Grant P.FOUL (P2.T2) (B.Kennedy),,
0041900312,85,8,0,1,7:45 PM,5:52,,,SUB: Craig FOR Grant,,
0041900312,87,2,1,1,7:46 PM,5:40,MISS Caldwell-Pope 27' 3PT Jump Shot,,,,
0041900312,88,4,0,1,7:46 PM,5:39,James REBOUND (Off:1 Def:2),,,,
0041900312,89,1,1,1,7:46 PM,5:32,James 3PT Jump Shot (10 PTS) (McGee 2 AST),,,12 - 10,-2
0041900312,91,6,1,1,7:46 PM,5:25,McGee P.FOUL (P2.T2) (B.Kennedy),,,,
0041900312,93,8,0,1,7:46 PM,5:25,SUB: Kuzma FOR McGee,,,,
0041900312,95,2,58,1,7:47 PM,5:15,,,MISS Jokic 10' Turnaround Hook Shot,,
0041900312,96,4,0,1,7:47 PM,5:14,,,Nuggets Rebound,,
0041900312,98,2,86,1,7:47 PM,5:05,,,MISS Jokic 8' Turnaround Fadeaway Shot,,
0041900312,99,4,0,1,7:47 PM,5:03,,,Millsap REBOUND (Off:2 Def:2),,
0041900312,100,5,1,1,7:47 PM,5:00,Green STEAL (1 STL),,Millsap Bad Pass Turnover (P1.T5),,
0041900312,102,1,76,1,7:47 PM,4:56,James 2' Running Finger Roll Layup (12 PTS),,,12 - 12,TIE
0041900312,103,2,7,1,7:47 PM,4:48,Green BLOCK (1 BLK),,MISS Millsap 2' Dunk,,
0041900312,104,4,0,1,7:47 PM,4:47,Green REBOUND (Off:1 Def:2),,,,
0041900312,105,5,4,1,7:48 PM,4:46,James Traveling Turnover (P1.T4),,,,
0041900312,107,8,0,1,7:48 PM,4:46,SUB: Rondo FOR James,,,,
0041900312,109,5,1,1,7:49 PM,4:35,Green STEAL (2 STL),,Millsap Bad Pass Turnover (P2.T6),,
0041900312,111,1,76,1,7:49 PM,4:30,Green 2' Running Finger Roll Layup (2 PTS),,,12 - 14,2
0041900312,112,9,1,1,7:49 PM,4:30,,,Nuggets Timeout: Regular (Reg.1 Short 0),,
0041900312,113,8,0,1,7:51 PM,4:30,,,SUB: Porter Jr. FOR Millsap,,
0041900312,118,1,1,1,7:53 PM,4:08,,,Porter Jr. 18' Jump Shot (2 PTS) (Murray 1 AST),14 - 14,TIE
0041900312,120,6,2,1,7:53 PM,3:50,,,Craig S.FOUL (P1.T3) (B.Kennedy),,
0041900312,122,3,11,1,7:54 PM,3:50,Caldwell-Pope Free Throw 1 of 2 (1 PTS),,,14 - 15,1
0041900312,123,8,0,1,7:54 PM,3:50,SUB: Caruso FOR Green,,,,
0041900312,125,3,12,1,7:54 PM,3:50,Caldwell-Pope Free Throw 2 of 2 (2 PTS),,,14 - 16,2
0041900312,126,5,2,1,7:54 PM,3:31,Rondo STEAL (1 STL),,Jokic Lost Ball Turnover (P1.T7),,
0041900312,129,8,0,1,7:55 PM,3:12,,,SUB: Morris FOR Murray,,
0041900312,131,1,47,1,7:55 PM,3:08,Kuzma 13' Turnaround Jump Shot (2 PTS) (Rondo 1 AST),,,14 - 18,4
0041900312,133,6,2,1,7:55 PM,2:59,Kuzma S.FOUL (P1.T3) (B.Kennedy),,,,
0041900312,135,3,11,1,7:56 PM,2:59,,,Porter Jr. Free Throw 1 of 2 (3 PTS),15 - 18,3
0041900312,136,3,12,1,7:56 PM,2:59,,,MISS Porter Jr. Free Throw 2 of 2,,
0041900312,137,4,0,1,7:56 PM,2:59,Rondo REBOUND (Off:0 Def:1),,,,
0041900312,138,1,101,1,7:56 PM,2:48,Davis 8' Driving Floating Jump Shot (2 PTS),,,15 - 20,5
0041900312,139,2,1,1,7:56 PM,2:28,,,MISS Craig 25' 3PT Jump Shot,,
0041900312,140,4,0,1,7:56 PM,2:27,Kuzma REBOUND (Off:0 Def:1),,,,
0041900312,141,1,58,1,7:56 PM,2:14,Davis 8' Turnaround Hook Shot (4 PTS),,,15 - 22,7
0041900312,142,2,1,1,7:57 PM,2:00,,,MISS Jokic 27' 3PT Jump Shot,,
0041900312,143,4,0,1,7:57 PM,1:59,Caruso REBOUND (Off:0 Def:1),,,,
0041900312,144,1,1,1,7:57 PM,1:44,Caldwell-Pope 3PT Jump Shot (5 PTS) (Caruso 1 AST),,,15 - 25,10
0041900312,146,9,1,1,7:57 PM,1:44,,,Nuggets Timeout: Regular (Reg.2 Short 0),,
0041900312,147,8,0,1,7:58 PM,1:44,SUB: James FOR Caldwell-Pope,,,,
0041900312,148,8,0,1,7:58 PM,1:44,,,SUB: Murray FOR Harris,,
0041900312,151,1,1,1,7:59 PM,1:31,,,Jokic 15' Jump Shot (4 PTS),17 - 25,8
0041900312,152,6,2,1,7:59 PM,1:20,,,Porter Jr. S.FOUL (P1.T4) (B.Kennedy),,
0041900312,154,3,11,1,8:00 PM,1:20,Caruso Free Throw 1 of 2 (1 PTS),,,17 - 26,9
0041900312,155,3,12,1,8:00 PM,1:20,Caruso Free Throw 2 of 2 (2 PTS),,,17 - 27,10
0041900312,156,2,41,1,8:00 PM,0:59,James BLOCK (1 BLK),,MISS Murray 3' Running Layup,,
0041900312,158,4,0,1,8:00 PM,0:57,Caruso REBOUND (Off:0 Def:2),,,,
0041900312,159,2,41,1,8:00 PM,0:54,MISS James 2' Running Layup,,Craig BLOCK (1 BLK),,
0041900312,161,4,0,1,8:00 PM,0:54,LAKERS Rebound,,,,
0041900312,163,5,2,1,8:01 PM,0:49,Kuzma Lost Ball Turnover (P1.T5),,Morris STEAL (1 STL),,
0041900312,165,1,47,1,8:01 PM,0:25,,,Jokic 11' Turnaround Jump Shot (6 PTS),19 - 27,8
0041900312,166,1,73,1,8:02 PM,0:04,Davis 1' Driving Reverse Layup (6 PTS),,,19 - 29,10
