Player	Pos	Age	Team	MP	O-PIPM	D-PIPM	PIPM
Ron Baker	SG	25	TOT	152	-1.00	+0.48	-0.52
Robin Lopez	C	30	CHI	1,606	-0.15	-0.37	-0.52
Dirk Nowitzki	PF	40	DAL	795	-0.10	-0.42	-0.53
Gerald Green	SG	33	HOU	1,57	+0.88	-1.40	-0.53
Jonah Bolden	PF	23	PHI	718	-1.39	+0.85	-0.53
Shai Gilgeous-Alexander	PG	20	LAC	2,347	-0.75	+0.21	-0.54
Naz Mitrou-Long	SG	25	UTA	84	-0.25	-0.32	-0.57
Jake Layman	SF	24	POR	1,347	-0.25	-0.33	-0.57
Devin Harris	PG	35	DAL	1,071	-0.04	-0.54	-0.57
Wilson Chandler	PF-SF	31	TOT	1,229	-0.34	-0.24	-0.58
Lonnie Walker	SG	20	SAS	139	-0.61	+0.02	-0.59
Kosta Koufos	C	29	SAC	502	-1.58	+0.99	-0.59
Marvin Bagley	PF	19	SAC	1,567	+0.59	-1.21	-0.62
C.J. Williams	SG	28	MIN	128	-0.50	-0.14	-0.63
Mario Hezonja	SF	23	NYK	1,206	-0.86	+0.22	-0.65
Khyri Thomas	SG	22	DET	210	-0.89	+0.24	-0.65
Courtney Lee	SG	33	TOT	428	-0.67	+0.01	-0.67
Andrew Harrison	PG	24	TOT	187	-0.62	-0.06	-0.67
Royce O'Neale	SF	25	UTA	1,808	-1.75	+1.07	-0.67
Langston Galloway	SG	27	DET	1,855	+0.63	-1.30	-0.68
Malik Monk	SG	20	CHO	1,258	+0.46	-1.15	-0.69
Dorian Finney-Smith	SF	25	DAL	1,985	-0.61	-0.08	-0.69
Shake Milton	SG	22	PHI	268	-0.27	-0.45	-0.72
Troy Daniels	SG	27	PHO	760	+0.09	-0.81	-0.73
Duncan Robinson	PF	24	MIA	161	-0.44	-0.30	-0.74
James Johnson	PF	31	MIA	1,164	-0.88	+0.15	-0.74
Bryn Forbes	SG	25	SAS	2,505	-0.22	-0.53	-0.75
Jonas Jerebko	PF	31	GSW	1,339	-0.34	-0.42	-0.76
Cameron Reynolds	SG	23	MIN	259	-0.24	-0.51	-0.76
