name,x,y,make,zone
Ja Morant,15,54,0,2
Ja Morant,-36,76,1,2
Ja Morant,3,254,1,3
Ja Morant,-227,1,0,3
Ja Morant,77,57,0,2
Ja Morant,-27,6,0,2
Ja Morant,-30,8,0,2
Ja Morant,12,5,1,2
Ja Morant,11,4,1,2
Ja Morant,47,22,0,2
Ja Morant,1,68,0,2
Ja Morant,-2,15,1,2
Ja Morant,106,278,0,3
Ja Morant,0,35,0,2
Ja Morant,-16,10,1,2
Ja Morant,-27,29,1,2
Ja Morant,-21,3,0,2
Ja Morant,-18,6,1,2
Ja Morant,-19,3,0,2
Ja Morant,-179,179,0,3
Ja Morant,-13,100,1,2
Ja Morant,226,20,1,3
Ja Morant,-19,17,1,2
Ja Morant,-11,258,0,3
Ja Morant,13,4,1,2
Ja Morant,-36,99,0,2
Ja Morant,0,-6,1,2
Ja Morant,-32,121,0,2
Ja Morant,155,231,0,3
Ja Morant,-43,69,1,2
Ja Morant,-20,73,0,2
Ja Morant,0,-6,0,2
Ja Morant,-18,71,1,2
Ja Morant,-21,37,1,2
Ja Morant,-43,95,1,2
Ja Morant,-14,72,0,2
Ja Morant,42,270,0,3
Ja Morant,-38,258,0,3
Ja Morant,58,262,0,3
Ja Morant,-16,42,0,2
Ja Morant,-1,37,0,2
Ja Morant,0,-6,0,2
