GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900020,69,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,38,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,1,1,1,20191025,MEM,CHI
Shot Chart Detail,0021900020,296,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,3,42,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,-3,1,0,20191025,MEM,CHI
Shot Chart Detail,0021900020,378,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,10,33,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,0,20191025,MEM,CHI
Shot Chart Detail,0021900020,451,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,5,43,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,0,20191025,MEM,CHI
Shot Chart Detail,0021900020,591,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,50,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,51,182,1,0,20191025,MEM,CHI
Shot Chart Detail,0021900020,656,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,7,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,0,20191025,MEM,CHI
Shot Chart Detail,0021900020,665,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,29,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20191025,MEM,CHI
Shot Chart Detail,0021900020,709,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,8,1,0,20191025,MEM,CHI
Shot Chart Detail,0021900037,32,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,34,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,46,68,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,37,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-14,148,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,45,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,78,247,1,0,20191027,MEM,BKN
Shot Chart Detail,0021900037,205,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,11,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-92,186,1,0,20191027,MEM,BKN
Shot Chart Detail,0021900037,227,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,45,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-3,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,287,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,6,20,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,4,1,1,20191027,MEM,BKN
Shot Chart Detail,0021900037,393,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,11,17,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,62,116,1,1,20191027,MEM,BKN
